@CO	shape:(4851, 2)
@CO	dtype:float64
VALUE_0	VALUE_1
5.551115123125783e-17	-208.366724743995
5.551115123125783e-17	-30.522404488481243
5.551115123125783e-17	-31.058964405684343
5.551115123125783e-17	-31.18720357616649
5.551115123125783e-17	-31.195327273870976
5.551115123125783e-17	-31.34636724994965
5.551115123125783e-17	-30.639358067612307
5.551115123125783e-17	-29.60854930599337
5.551115123125783e-17	-29.420478977582107
5.551115123125783e-17	-27.72172599324865
5.551115123125783e-17	-29.438422660491913
5.551115123125783e-17	-31.867002737262254
5.551115123125783e-17	-33.003211344654495
5.551115123125783e-17	-32.86927346055828
5.551115123125783e-17	-32.34254360415844
5.551115123125783e-17	-32.301461648849084
5.551115123125783e-17	-32.55530325778508
5.551115123125783e-17	-33.44713241080603
5.551115123125783e-17	-34.33847728713994
5.551115123125783e-17	-34.508731770229026
5.551115123125783e-17	-35.242600490838576
5.551115123125783e-17	-55.88301074170748
5.551115123125783e-17	-34.68995079612936
5.551115123125783e-17	-33.88838136183434
5.551115123125783e-17	-33.68791396233447
5.551115123125783e-17	-32.78221363320187
5.551115123125783e-17	-31.961822005019208
5.551115123125783e-17	-31.241217838194704
5.551115123125783e-17	-29.81450802186739
5.551115123125783e-17	-30.26509992801533
5.551115123125783e-17	-34.172275428873995
5.551115123125783e-17	-35.92786695521385
5.551115123125783e-17	-36.042215014058506
5.551115123125783e-17	-36.094818253511015
5.551115123125783e-17	-36.19024154688784
5.551115123125783e-17	-36.19368789114838
5.551115123125783e-17	-36.192867816663465
5.551115123125783e-17	-36.1921334627448
5.551115123125783e-17	-36.19191809541524
5.551115123125783e-17	-36.19167051010154
5.551115123125783e-17	-35.52072081092801
5.551115123125783e-17	-55.945951475474395
5.551115123125783e-17	-36.19208189849083
5.551115123125783e-17	-36.192271398669575
5.551115123125783e-17	-36.19242483606356
5.551115123125783e-17	-35.14388929722298
5.551115123125783e-17	-75.82329939642167
5.551115123125783e-17	-36.20053815423076
5.551115123125783e-17	-36.226817244570775
5.551115123125783e-17	-35.59202435066463
5.551115123125783e-17	-56.02801240062118
5.551115123125783e-17	-36.26809571621605
5.551115123125783e-17	-36.28984149007297
5.551115123125783e-17	-36.315413602934015
5.551115123125783e-17	-36.24583050038924
5.551115123125783e-17	-36.25385426911809
5.551115123125783e-17	-36.25835140932276
5.551115123125783e-17	-36.171260588439914
5.551115123125783e-17	-35.22708339219996
5.551115123125783e-17	-28.992653108902367
5.551115123125783e-17	-34.26404230257576
5.551115123125783e-17	-33.93287827570667
5.551115123125783e-17	-31.083100514360165
5.551115123125783e-17	-32.2190718291512
5.551115123125783e-17	-35.185594816833046
5.551115123125783e-17	-36.321663275068104
5.551115123125783e-17	-36.52014469423549
5.551115123125783e-17	-36.74793177366896
5.551115123125783e-17	-36.83790758976596
5.551115123125783e-17	-37.0303202362469
5.551115123125783e-17	-37.66750161447194
5.551115123125783e-17	-37.86554970976862
5.551115123125783e-17	-37.90491206466138
5.551115123125783e-17	-37.96595751243042
5.551115123125783e-17	-37.36031830669955
5.551115123125783e-17	-46.21076296444979
5.551115123125783e-17	-39.57564759048305
5.551115123125783e-17	-35.96235588389902
5.551115123125783e-17	-70.6293940901994
5.551115123125783e-17	-34.987588243711464
5.551115123125783e-17	-36.311434185097184
5.551115123125783e-17	-37.422693666399304
5.551115123125783e-17	-37.90525526233972
5.551115123125783e-17	-38.03906661702704
5.551115123125783e-17	-38.0550018693182
5.551115123125783e-17	-37.58384428066128
5.551115123125783e-17	-33.99248224847917
5.551115123125783e-17	-52.71485234381695
5.551115123125783e-17	-36.908746855953076
5.551115123125783e-17	-36.977609736282986
5.551115123125783e-17	-36.76751025216564
5.551115123125783e-17	-37.844995562741786
5.551115123125783e-17	-37.221213837335696
5.551115123125783e-17	-49.368846729475436
5.551115123125783e-17	-36.24079540590327
5.551115123125783e-17	-37.765192541702895
5.551115123125783e-17	-37.82409085960426
5.551115123125783e-17	-37.81295043300467
5.551115123125783e-17	-37.782613630335895
5.551115123125783e-17	-37.71308982774074
5.551115123125783e-17	-37.48663446309388
5.551115123125783e-17	-36.72977807241418
5.551115123125783e-17	-35.93204981080228
5.551115123125783e-17	-33.008798002091424
5.551115123125783e-17	-28.949432833370345
5.551115123125783e-17	-91.32163171325317
5.551115123125783e-17	-26.77082895149568
5.551115123125783e-17	-30.797154123666566
5.551115123125783e-17	-34.02170670653513
5.551115123125783e-17	-34.99852460534854
5.551115123125783e-17	-35.195348832947666
5.551115123125783e-17	-35.305358304826534
5.551115123125783e-17	-35.495058357324616
5.551115123125783e-17	-35.011067969846685
5.551115123125783e-17	-55.34774624137804
5.551115123125783e-17	-35.69957639239842
5.551115123125783e-17	-35.305024617984316
5.551115123125783e-17	-34.707581443082276
5.551115123125783e-17	-33.621815146977816
5.551115123125783e-17	-31.513375132224674
5.551115123125783e-17	-28.23341610055879
5.551115123125783e-17	-27.90699925688678
5.551115123125783e-17	-31.272489378471725
5.551115123125783e-17	-33.40215331158268
5.551115123125783e-17	-33.774894747292066
5.551115123125783e-17	-33.835799879919385
5.551115123125783e-17	-33.11238522569234
5.551115123125783e-17	-30.9217476172482
5.551115123125783e-17	-28.719326384534412
5.551115123125783e-17	-31.55126678820097
5.551115123125783e-17	-33.77379122709665
5.551115123125783e-17	-33.59136577988149
5.551115123125783e-17	-48.298272786480226
5.551115123125783e-17	-34.83779853265659
5.551115123125783e-17	-35.69777905038603
5.551115123125783e-17	-57.39467730661096
5.551115123125783e-17	-37.56870285924438
5.551115123125783e-17	-37.56373709299757
5.551115123125783e-17	-37.34734259373156
5.551115123125783e-17	-36.20348169003689
5.551115123125783e-17	-98.07300125189496
5.551115123125783e-17	-37.41391796340012
5.551115123125783e-17	-36.357544397933204
5.551115123125783e-17	-96.5751737523858
5.551115123125783e-17	-36.63143279331583
5.551115123125783e-17	-34.953802028943954
5.551115123125783e-17	-32.49813113198765
5.551115123125783e-17	-33.04037166152378
5.551115123125783e-17	-33.980463583753576
5.551115123125783e-17	-36.14080843124457
5.551115123125783e-17	-37.14108236476153
5.551115123125783e-17	-37.224522091541544
5.551115123125783e-17	-37.732916942863476
5.551115123125783e-17	-37.662330451997114
5.551115123125783e-17	-37.66661989976957
5.551115123125783e-17	-37.66753506206956
5.551115123125783e-17	-37.67339692528483
5.551115123125783e-17	-37.62360458972765
5.551115123125783e-17	-34.404605540635345
5.551115123125783e-17	-109.84963434327899
5.551115123125783e-17	-34.59294376901747
-1.455718878773382e-11	-24.913406736492902
5.551115123125783e-17	-88.41236886509925
5.551115123125783e-17	-37.14252126626861
5.551115123125783e-17	-37.20289024635461
5.551115123125783e-17	-37.2087324102995
5.551115123125783e-17	-37.21288369240803
5.551115123125783e-17	-37.21329385818453
5.551115123125783e-17	-36.24683341743836
-1.9986317656428554e-08	-17.728062390074808
5.551115123125783e-17	-59.879256882976215
5.551115123125783e-17	-37.21200541356091
5.551115123125783e-17	-37.213642930603626
5.551115123125783e-17	-37.21831885215176
5.551115123125783e-17	-37.199728069154936
5.551115123125783e-17	-38.5681607635147
5.551115123125783e-17	-37.60173788042506
5.551115123125783e-17	-37.17980242967736
5.551115123125783e-17	-37.16864767641808
5.551115123125783e-17	-37.163494386374474
5.551115123125783e-17	-34.97229393313711
5.551115123125783e-17	-94.02290892655009
5.551115123125783e-17	-34.706648694236584
5.551115123125783e-17	-32.961122798718264
5.551115123125783e-17	-31.694160693690797
5.551115123125783e-17	-33.495746491466036
5.551115123125783e-17	-32.768983722672935
5.551115123125783e-17	-32.127267493329796
5.551115123125783e-17	-30.472531607468085
5.551115123125783e-17	-31.665262876050285
5.551115123125783e-17	-36.52085422169733
5.551115123125783e-17	-37.37549323878137
5.551115123125783e-17	-37.51403428549902
5.551115123125783e-17	-37.65320884298152
5.551115123125783e-17	-37.07257317051954
5.551115123125783e-17	-58.62608369869133
5.551115123125783e-17	-36.751925626473856
5.551115123125783e-17	-35.92783243443806
5.551115123125783e-17	-32.72483641308014
5.551115123125783e-17	-49.82836981272511
5.551115123125783e-17	-34.92483052306574
5.551115123125783e-17	-32.509807778188765
5.551115123125783e-17	-31.134099982892106
5.551115123125783e-17	-33.55066009866786
5.551115123125783e-17	-34.18597514435523
5.551115123125783e-17	-34.026267002209885
5.551115123125783e-17	-33.97850646702255
5.551115123125783e-17	-33.964713106239984
5.551115123125783e-17	-33.94530389320962
5.551115123125783e-17	-33.95103117869029
5.551115123125783e-17	-33.26204164559258
5.551115123125783e-17	-54.4738662646499
5.551115123125783e-17	-32.43931165871074
5.551115123125783e-17	-26.42804588360122
5.551115123125783e-17	-37.54913879937254
5.551115123125783e-17	-36.515836089032824
5.551115123125783e-17	-34.11104366803361
5.551115123125783e-17	-34.232082875608086
5.551115123125783e-17	-34.17118958910057
5.551115123125783e-17	-34.174785643255944
5.551115123125783e-17	-34.36672760739428
5.551115123125783e-17	-37.28476387178132
