@CO	shape:(4851, 2)
@CO	dtype:float64
VALUE_0	VALUE_1
5.551115123125783e-17	-320.65656799470645
-289.70682510994806	5.551115123125783e-17
-210.94636501788742	5.551115123125783e-17
-169.94175088633574	5.551115123125783e-17
-160.5263862610302	5.551115123125783e-17
-183.8968486431443	5.551115123125783e-17
-199.54081608995915	5.551115123125783e-17
-164.70773598631084	5.551115123125783e-17
-154.81517254008685	5.551115123125783e-17
-146.02618104334363	5.551115123125783e-17
-146.551480061486	5.551115123125783e-17
-131.3132744402069	5.551115123125783e-17
-127.53805159323684	5.551115123125783e-17
-132.0671395590319	5.551115123125783e-17
-125.73339990685449	5.551115123125783e-17
-152.66870114026761	5.551115123125783e-17
-141.46121567273437	5.551115123125783e-17
-145.67885210262963	5.551115123125783e-17
-148.23406590463787	5.551115123125783e-17
-138.46620269279322	5.551115123125783e-17
-135.16341798635978	5.551115123125783e-17
-109.07730174230544	5.551115123125783e-17
-112.72159610641233	5.551115123125783e-17
-101.83099237276116	5.551115123125783e-17
-101.73962115929186	5.551115123125783e-17
-118.32517433131183	5.551115123125783e-17
-109.06147613954799	5.551115123125783e-17
-121.39412171461734	5.551115123125783e-17
-120.67981826561213	5.551115123125783e-17
-148.0253786443328	5.551115123125783e-17
-162.00099132752206	5.551115123125783e-17
-161.210218335704	5.551115123125783e-17
-166.67442942968952	5.551115123125783e-17
-185.04720757258016	5.551115123125783e-17
-146.57323865748873	5.551115123125783e-17
-144.85117741738614	5.551115123125783e-17
-164.5103722543583	5.551115123125783e-17
-121.57352821024388	5.551115123125783e-17
-136.9948534996141	5.551115123125783e-17
-235.01946305041594	5.551115123125783e-17
-221.1979925083444	5.551115123125783e-17
-142.91214482594788	5.551115123125783e-17
-147.51945469276427	5.551115123125783e-17
-136.87453222665357	5.551115123125783e-17
-141.70451528005074	5.551115123125783e-17
-147.22536084050697	5.551115123125783e-17
-174.6521064897305	5.551115123125783e-17
-156.4505555029726	5.551115123125783e-17
-156.84961539334753	5.551115123125783e-17
-147.72433713235728	5.551115123125783e-17
-182.2768225825031	5.551115123125783e-17
-181.1189236680128	5.551115123125783e-17
-195.5246326629954	5.551115123125783e-17
-228.95240980427636	5.551115123125783e-17
-245.95024214706123	5.551115123125783e-17
-220.88248072504865	5.551115123125783e-17
-222.89761214093585	5.551115123125783e-17
-220.8030779506168	5.551115123125783e-17
-267.0122413014999	5.551115123125783e-17
-207.9782772887466	5.551115123125783e-17
-201.42960176617464	5.551115123125783e-17
-194.28912000677906	5.551115123125783e-17
-182.67666561234248	5.551115123125783e-17
-183.66011803951022	5.551115123125783e-17
-159.61892496927172	5.551115123125783e-17
-155.0351725622168	5.551115123125783e-17
-162.84507310570203	5.551115123125783e-17
-187.33728344730176	5.551115123125783e-17
-168.14384272979666	5.551115123125783e-17
-147.80841698737692	5.551115123125783e-17
-166.70631366726087	5.551115123125783e-17
-145.3081001591514	5.551115123125783e-17
-135.15206034839426	5.551115123125783e-17
-138.15148657362516	5.551115123125783e-17
-152.17883891018812	5.551115123125783e-17
-220.08596392825567	5.551115123125783e-17
-208.2747100072498	5.551115123125783e-17
-214.8652210912945	5.551115123125783e-17
-289.87766453046083	5.551115123125783e-17
-215.08133634691671	5.551115123125783e-17
-226.0369326577422	5.551115123125783e-17
-214.794274293986	5.551115123125783e-17
-211.60610835604845	5.551115123125783e-17
-197.23402361708898	5.551115123125783e-17
-297.2971884907513	5.551115123125783e-17
-169.32756060142316	5.551115123125783e-17
-191.54609592866734	5.551115123125783e-17
-207.72991327165883	5.551115123125783e-17
-194.36665326442767	5.551115123125783e-17
-197.1306938545583	5.551115123125783e-17
-201.37626395234406	5.551115123125783e-17
-214.26393943565913	5.551115123125783e-17
-276.0330894757206	5.551115123125783e-17
-296.79726254749136	5.551115123125783e-17
-281.1786302645487	5.551115123125783e-17
-265.54472587176747	5.551115123125783e-17
-260.34695192171375	5.551115123125783e-17
-253.35134884475792	5.551115123125783e-17
-269.16701223484176	5.551115123125783e-17
-265.1820794334542	5.551115123125783e-17
-243.58456095388314	5.551115123125783e-17
-257.59080332752023	5.551115123125783e-17
-230.71887530212652	5.551115123125783e-17
-223.8029720421347	5.551115123125783e-17
-220.08571592020206	5.551115123125783e-17
-3.3861802251067274e-15	-27.352524330674505
-185.87738269554623	5.551115123125783e-17
-215.45407578280373	5.551115123125783e-17
-196.31397761168978	5.551115123125783e-17
-207.4613219449088	5.551115123125783e-17
-241.00799398318472	5.551115123125783e-17
-232.7435549604772	5.551115123125783e-17
-257.6891490276495	5.551115123125783e-17
-309.14364498956735	5.551115123125783e-17
-309.14365252978615	5.551115123125783e-17
-255.28447362267138	5.551115123125783e-17
-237.85200280301936	5.551115123125783e-17
-201.01571507282264	5.551115123125783e-17
-213.113806419016	5.551115123125783e-17
-194.05001875560544	5.551115123125783e-17
-183.86166974290174	5.551115123125783e-17
-202.74671500140508	5.551115123125783e-17
-188.58685604696902	5.551115123125783e-17
-188.43039871717752	5.551115123125783e-17
-217.9765493417048	5.551115123125783e-17
-252.68463451985744	5.551115123125783e-17
-253.8042361859249	5.551115123125783e-17
-239.0245293144184	5.551115123125783e-17
-207.65005904250572	5.551115123125783e-17
-218.33168912079358	5.551115123125783e-17
-185.14081491797006	5.551115123125783e-17
-159.27441779460716	5.551115123125783e-17
-178.43448183842906	5.551115123125783e-17
-179.04638367095836	5.551115123125783e-17
-173.08277433826368	5.551115123125783e-17
-177.39226350128538	5.551115123125783e-17
-148.80224513101808	5.551115123125783e-17
-153.80292423691685	5.551115123125783e-17
-166.74212857462132	5.551115123125783e-17
-218.4902747051675	5.551115123125783e-17
-5.9280241770931497e-08	-16.641630892097044
-129.84712997999893	5.551115123125783e-17
-145.42078023286365	5.551115123125783e-17
-161.3066652438426	5.551115123125783e-17
-132.1676959576169	5.551115123125783e-17
-125.12804190487586	5.551115123125783e-17
-119.21065274970915	5.551115123125783e-17
-133.71511835582515	5.551115123125783e-17
-103.93272121145789	5.551115123125783e-17
-126.05267135455956	5.551115123125783e-17
-115.63104293677927	5.551115123125783e-17
-98.54444976365617	5.551115123125783e-17
-129.4171129763272	5.551115123125783e-17
-114.26727433462142	5.551115123125783e-17
-130.975311525746	5.551115123125783e-17
-137.03002887286428	5.551115123125783e-17
-137.5945722576926	5.551115123125783e-17
-157.5546610876657	5.551115123125783e-17
-161.77341865326824	5.551115123125783e-17
-44.64338683985697	5.551115123125783e-17
-200.3075732144387	5.551115123125783e-17
-203.38711815361958	5.551115123125783e-17
-309.14365252978615	5.551115123125783e-17
-253.55106609714778	5.551115123125783e-17
-240.43329141795635	5.551115123125783e-17
-287.5347052485576	5.551115123125783e-17
-205.79957845870953	5.551115123125783e-17
-213.0922435395967	5.551115123125783e-17
-258.4359670331328	5.551115123125783e-17
-252.5064870909911	5.551115123125783e-17
-295.8424372185226	5.551115123125783e-17
-244.30467517837923	5.551115123125783e-17
-255.57375294822484	5.551115123125783e-17
-253.07604224104142	5.551115123125783e-17
-247.00243647721297	5.551115123125783e-17
-259.8361683440591	5.551115123125783e-17
-231.01748651569935	5.551115123125783e-17
-238.52046761222007	5.551115123125783e-17
-197.69511425001963	5.551115123125783e-17
-195.85384681371082	5.551115123125783e-17
-244.91050516197754	5.551115123125783e-17
-308.754852236484	5.551115123125783e-17
-309.1436212670337	5.551115123125783e-17
-308.70702330676517	5.551115123125783e-17
-289.29278602280203	5.551115123125783e-17
-297.8904161621243	5.551115123125783e-17
-222.602550706679	5.551115123125783e-17
-236.12189901588397	5.551115123125783e-17
-267.6966758005812	5.551115123125783e-17
-263.2782252470488	5.551115123125783e-17
-225.65408014320099	5.551115123125783e-17
-187.83456413148485	5.551115123125783e-17
-177.69310231337678	5.551115123125783e-17
-261.6820162954355	5.551115123125783e-17
-195.9032406877308	5.551115123125783e-17
-210.66306474480447	5.551115123125783e-17
-174.64312865920942	5.551115123125783e-17
-167.59960404627236	5.551115123125783e-17
-175.47299440684083	5.551115123125783e-17
-160.50297419506697	5.551115123125783e-17
-143.56024113872482	5.551115123125783e-17
-163.93439950300123	5.551115123125783e-17
-166.38072036496163	5.551115123125783e-17
-141.94743634650888	5.551115123125783e-17
-130.82221734908376	5.551115123125783e-17
-151.48796521519336	5.551115123125783e-17
-171.69212084905735	5.551115123125783e-17
-167.82554457882264	5.551115123125783e-17
-190.7063075792809	5.551115123125783e-17
-167.63947047669788	5.551115123125783e-17
-173.8264119996921	5.551115123125783e-17
-181.96891481996803	5.551115123125783e-17
-163.58534328213503	5.551115123125783e-17
-149.3035784904205	5.551115123125783e-17
-125.419296063377	5.551115123125783e-17
-151.02504811484187	5.551115123125783e-17
-209.38238947714854	5.551115123125783e-17
-272.68794264984206	5.551115123125783e-17
-236.96302701293888	5.551115123125783e-17
-196.18903533991258	5.551115123125783e-17
-178.43538200269006	5.551115123125783e-17
-169.33736496479182	5.551115123125783e-17
-229.90601848054138	5.551115123125783e-17
