chrom	first_breakpoint_start	first_breakpoint_end	second_breakpoint_start	second_breakpoint_end	start_gene_id	end_gene_id	breakpoint_name	breakpoint_id	target_gene	use	note
Pf3D7_05_v3	938329	938357	980012	980040	PF3D7_0522900	PF3D7_0523000	42kb around MDR1	PfMDR1_dup_1	MDR1	1	
Pf3D7_05_v3	949514	949527	967253	967266	PF3D7_0522900	PF3D7_0523000	17.7kb around MDR1	PfMDR1_dup_2	MDR1	1	
Pf3D7_05_v3	947790	947800	962444	962454	PF3D7_0522900	PF3D7_0523000	15kb around MDR1	PfMDR1_dup_3	MDR1	1	Corresponds to PfMDR1_Nair_8
Pf3D7_05_v3	953961	953982	973008	973034	PF3D7_0523000	PF3D7_0523100	19kb around MDR1	PfMDR1_dup_4	MDR1	1	Corresponds to PfMDR1_Nair_13. Similar to PfMDR1_Nair_12 but fewer calls
Pf3D7_05_v3	953961	953982	965409	865428	PF3D7_0523000	PF3D7_0523100	11kb around MDR1	PfMDR1_dup_5	MDR1	1	
Pf3D7_05_v3	947968	947986	969783	969812	PF3D7_0523000	PF3D7_0523200	22kb around MDR1	PfMDR1_dup_6	MDR1	1	
Pf3D7_05_v3	953961	953982	970215	970252	PF3D7_0523000	PF3D7_0523100	16kb around MDR1	PfMDR1_dup_7	MDR1	1	Corresponds to PfMDR1_Nair_4/PfMDR1_Nair_7
Pf3D7_05_v3	780906	780927	980012	980040	PF3D7_0518800	PF3D7_0523600	199kb around MDR1	PfMDR1_dup_8	MDR1	1	
Pf3D7_05_v3	870473	870502	964628	964646	PF3D7_0521300	PF3D7_0523100	94kb around MDR1	PfMDR1_dup_9	MDR1	1	
Pf3D7_05_v3	795494	795527	964505	964540	PF3D7_0519300	PF3D7_0519300	169kb around MDR1	PfMDR1_dup_10	MDR1	1	
Pf3D7_05_v3	888324	888349	970215	970252	PF3D7_0521900	PF3D7_0523200	82kb around MDR1	PfMDR1_dup_11	MDR1	1	Corresponds to PfMDR1_Nair_DD2
Pf3D7_05_v3	868667	868699	964505	964540	PF3D7_0521200	PF3D7_0523100	96kb around MDR1	PfMDR1_dup_12	MDR1	1	Corresponds to PfMDR1_Nair_B8
Pf3D7_05_v3	946696	946717	964505	964540	PF3D7_0522900	PF3D7_0523100	18kb around MDR1	PfMDR1_dup_13	MDR1	1	
