CONTIG	START	END	STRAND	CALL_ID	CALL_TYPE
Pf3D7_05_v3	955955	963095	+	MDR1	CNV
Pf3D7_07_v3	402385	406341	+	CRT	CNV
Pf3D7_08_v3	1373212	1376988	-	HRP2	DEL
Pf3D7_12_v3	974226	976097	+	GCH1	CNV
Pf3D7_13_v3	2840236	2842840	-	HRP3	DEL
Pf3D7_14_v3	292244	299101	+	PM2_PM3	CNV
